MeasureName,Aliases,Domain,Business Capability,Capability Description,Capability Confidence,Measure Description,Evidence / Source Excerpt
Vol Growth (%),,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Percentage volume growth of the current forecast versus the prior year, including the effect of portfolio changes (launches, delistings) to measure total business momentum.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol Lap (%),,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Like-for-like volume growth percentage, excluding new product introductions and delistings to isolate organic volume performance of the comparable portfolio base.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol Lap (%),,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Like-for-like volume growth percentage, excluding new product introductions and delistings to isolate organic volume performance of the comparable portfolio base.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
NR Growth (%),,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,MEDIUM,"Percentage net revenue growth of the current forecast versus the prior year, encompassing the full portfolio including mix effects from new launches and delistings.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR Growth (%),,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Percentage net revenue growth of the current forecast versus the prior year, encompassing the full portfolio including mix effects from new launches and delistings.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR Lap (%),,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,MEDIUM,"Like-for-like net revenue growth percentage on a comparable portfolio basis, stripping out NPI and discontinuation effects to show organic revenue performance.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR Lap (%),,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Like-for-like net revenue growth percentage on a comparable portfolio basis, stripping out NPI and discontinuation effects to show organic revenue performance.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
MC Growth (%),,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,MEDIUM,"Percentage margin contribution growth of the current forecast versus prior year, capturing the full P&L impact of volume mix, pricing, and portfolio changes.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
MC Growth (%),,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Percentage margin contribution growth of the current forecast versus prior year, capturing the full P&L impact of volume mix, pricing, and portfolio changes.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
MC Lap (%),,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,MEDIUM,"Like-for-like margin contribution growth percentage on a comparable portfolio basis, isolating underlying margin performance from portfolio composition changes.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
MC Lap (%),,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Like-for-like margin contribution growth percentage on a comparable portfolio basis, isolating underlying margin performance from portfolio composition changes.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
Index to AOP/ESP,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Volume index expressing current forecast as a percentage of the AOP or Estimated Selling Plan (100 = on plan), providing a normalised attainment metric across geographies and categories.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
Index to AOP/ESP,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Volume index expressing current forecast as a percentage of the AOP or Estimated Selling Plan (100 = on plan), providing a normalised attainment metric across geographies and categories.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
NR Index to AOP/ESP,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Net revenue index expressing current NR forecast as a percentage of the AOP or ESP target, enabling cross-market financial attainment benchmarking in IBP reviews.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
NR Index to AOP/ESP,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,MEDIUM,"Net revenue index expressing current NR forecast as a percentage of the AOP or ESP target, enabling cross-market financial attainment benchmarking in IBP reviews.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
NY % CY,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Next-year plan as a percentage of the current-year forecast, used to assess the ambition level of the forward annual plan and validate year-on-year growth assumptions during AOP cycles.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
NY % CY,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,MEDIUM,"Next-year plan as a percentage of the current-year forecast, used to assess the ambition level of the forward annual plan and validate year-on-year growth assumptions during AOP cycles.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
ST Final Segmentation,,Demand Planning,Demand Segmentation & Classification,"Classifies products, customers, and demand streams using ABC/XYZ and other frameworks for differentiated planning treatment.",HIGH,"The computed short-term DFU business segmentation combining manual (E/M/L/R), lifecycle (L/P/N/S/D/R/O/T), and ABC classifications per priority rules; governs FE-active status and forecast model selection.","Final segmentation: combination of manual, Lifecycle segmentation and DFU ABC"
ST Final Segmentation,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"The computed short-term DFU business segmentation combining manual (E/M/L/R), lifecycle (L/P/N/S/D/R/O/T), and ABC classifications per priority rules; governs FE-active status and forecast model selection.","Final segmentation: combination of manual, Lifecycle segmentation and DFU ABC"
